博主,id,时间,来源,收藏,转发,评论,点赞,艾特,标签,内容
是陈炫呀,5687180510,04月16日 22:53,OPPO Reno5 5G,,,,,,-,日本副首相兼财务大臣麻生太郎此前说，这些福岛核电站废水喝了也没问题。日本内阁官房长官加藤胜信回应，虽然说法不同，但麻生的用意是指废水满足饮用水标准，但他不愿直接回答废水是否能喝，他说，就算喝了也不能科学说明废水的安全性，因此没必要这么做。真的信你的鬼，怎么会有这么不要脸的人呢。借用赵副司长的话，请先喝了再说。 收起全文d
蓝灰少年,1751799624,04月16日 22:53,微博问答,,,,,@褚明宇,-,我围观了@褚明宇 的回答，该问题价值2198.00元，围观仅1元，快来一起围观~ O微博问答 ​
克里夫迪亚诺,2710737273,04月16日 21:18,微博 weibo.com,,,,,,#微博公开课#,"发布了头条文章：《薛定谔的太平洋——说说最近日本排核废水事件》 某核一名员工，以工作身份发表核废水观点，被另一名员工举报了,所以我本来也不想写什么，怎奈太多朋友要我发表看法了，于是就写一点吧  O薛定谔的太平洋——说说最近日本排核废水事件 ​"
逍遥的2021幸福安康富贵顺心意,1557952645,04月16日 14:00,微博视频号,,,,,,#联合国称日本排污影响将持续超100年#,【“深感失望”！】联合国有关人权专家15日发表共同声明，对日本政府以海洋排放方式处置福岛核电站事故核废水的决定“深感失望”。声明表示，日本政府的这一决定非常令人担忧，因为上百万吨被污染的水排入大海后，可能会对许多人的生命和整个环境造成严重影响，对人类和环境的威胁可能会持续超过100年，从而对有关人权的保障构成极大威胁。声明说，日本应该切实履行防止有害物质泄漏并对其行为的风险进行充分评估，以更好地保护而不是损害海洋环境。 L央视网的微博视频 收起全文d
Yummyseul的马甲三代,7076756547,04月16日 13:50,微博视频号,,,,,,#中美关系# #祖国必须统一# #台积电# #阿富汗# #中国#,2021/04/15黄智贤夜问黄智贤星球  L黄智贤星球的微博视频 ​
Daniel-畲,2268478495,04月16日 22:52,HUAWEI P20 Pro,,,3,0,,-,鬼子在转移核废水排放舆论 ​
清风-金林,6099543125,04月16日 22:52,哔哩哔哩移动客户端,,,,,,#bilibili#,核废水入海！国内给日本洗白？就吃亏在中国汉奸多！！ UP主: 种花知兴衰 O核废水入海！国内给日本洗白？就吃亏在中国汉奸多！！ (哔哩哔哩客户端下载 O网页链接) 经典评论，“从小我的妈妈就告诉我要爱国，长大了才发现不是所有人都有妈妈​”。“一瞬间从没那么深刻感觉到我的一位五十多的语文教师说的话：“中国的爱国教育一直都很失败”​。个人观点，中国的教育失败毋庸置疑，它不是失败在无法传播有用的知识，而是失败在传播了知识却无法传承本土文明。花费巨大的资源，高校培养的人才，反手就有一部分成了背叛者，中国这个国家最不缺的就是汉奸。就像所谓的“清华校友”，“北大校友”，在国家危难之际从来不思量如何舍己为人，而是反过来资助欧美，这操作真的迷。另外说一嘴，汉奸最多的平台就是新浪微博，应该大力整治！ 收起全文d
蚌埠政法,6392886792,04月16日 22:52,微博视频号,,,,,,#联合国专家称日核废水影响将超100年#,【】“上百万吨被污染的水排入大海之后，对人类和环境的威胁可能会持续超过100年。”联合国有关人权专家15日发表共同声明，对日本政府以海洋排放方式处置福岛核电站事故核废水的决定“深感失望”。L央视频的微博视频 ​​​ 2蚌埠·和谐家园 ​
玉门市融媒体中心,5281187541,04月16日 22:52,微博 weibo.com,,,,1,,-,外交部召见日本驻华大使 就日方作出福岛核废水排海决定提出严正交涉O外交部召见日本驻华大使 就日方作出福岛核废水排海决定提出严正交涉 ​
溃不成军的难过0,6559112997,04月16日 22:52,微博 weibo.com,,,,,,#知天在水#的时候，身体摇摇晃晃的，千灵还嗅到了一股不一样的味道，是什么药粉 #如何看待日本福岛核废水排海#,们可怜，在他们的身上点点画画，画出一个镇魂符，“你们放心，我会带你们出去好好安葬你们的，安息吧。”      小葵走过来 ​
啊於aurAro,6587121207,04月16日 22:52,nova4e 3200W立体美颜,,,,1,,#日本政府正式决定福岛核废水排海#, 地球不会灭亡，但人类也许会 ​
玉门市融媒体中心,5281187541,04月16日 22:52,微博 weibo.com,,,,1,,-,联合国人权专家：对日本将核废水排入大海的决定“深感失望”O联合国人权专家：对日本将核废水排入大海的决定“深感失望” ​
不喝汤的鱼,1571419192,04月16日 21:18,微博 weibo.com,,,,,,#微博公开课#,"发布了头条文章：《薛定谔的太平洋——说说最近日本排核废水事件》 某核一名员工，以工作身份发表核废水观点，被另一名员工举报了,所以我本来也不想写什么，怎奈太多朋友要我发表看法了，于是就写一点吧  O薛定谔的太平洋——说说最近日本排核废水事件 ​"
ziyu66,1418605742,04月16日 22:44,分享按钮,,,,,,-,喝不喝核废水？麻生太郎逻辑令人迷惑：太平洋是中国的下水道吗 O喝不喝核废水？麻生太郎逻辑令人迷惑：太平洋是中国的下水道吗 ​
我俩的漫长岁月,5832128719,04月16日 14:09,微博 weibo.com,,,,,,"#GT海报# 】SOS, Save Our Sea! #日本政府正式决定福岛核废水排海#",【 ​
快乐星球导演张惠民,2038330535,04月16日 22:51,iPhone客户端,,6,0,6,,-,不光半个娱乐圈都在玩快乐星球，现在已经出圈到海外，成为文化输出一部分。连央视都在担心，如果日本的核废水入海，快乐星球的快乐还在吗？！ ​
养只柴犬可好,7307018934,04月16日 22:51,iPhone客户端,,,2,1,,-,大母零这么婆婆妈妈的真的太focus你爹了 建议一起跟着去喝核电站废水 ​
