userName,mentionName
mag4300,@guardian 
mag4300,@guardian 
mag4300,@nytimes 
mag4300,@POTUS 
shillito_ray,@micamacpaddywac
shillito_ray,@POTUS 
shillito_ray,@tg14926 
ImpeachBDevos,@sugawitter
ImpeachBDevos,@Phillygirl1441
ImpeachBDevos,@POTUS
ImpeachBDevos,@NBCOlympics 
CalumHendrix,@RyuichiYoneyama 
tvytter,@ShingetsuNews 
tokyowavejp,@aaronrandalljp
tokyowavejp,@alleninc 
hushmark,@tokyo_0
hushmark,@RyuichiYoneyama 
ubcSPPGA,@SREnvironment
ubcSPPGA,@ubcires) 
shamrockflag,@martfack 
shamrockflag,@kantei
shamrockflag,@sugawitter 
shamrockflag,@motokorich 
NoCCPNoNewChina,@SecBlinken 
NoCCPNoNewChina,@JapanGov
NoCCPNoNewChina,@AbroadInJapan 
NoCCPNoNewChina,@Christian_Elth
NoCCPNoNewChina,@RobertF99664452
NoCCPNoNewChina,@DeptofDefense
NoCCPNoNewChina,@USMC 
NoCCPNoNewChina,@MOFA_Taiwan
NoCCPNoNewChina,@SenChrisDodd
NoCCPNoNewChina,@StateDept
NoCCPNoNewChina,@USAsiaPacific
NoCCPNoNewChina,@WHAAsstSecty
NoCCPNoNewChina,@USAmbKeshap
NoCCPNoNewChina,@eAsiaMediaHub
NoCCPNoNewChina,@TECRO_USA 
joseph11lim,@japantimes 
STEM2Crisis,@Japan 
sandyng424,@GretaThunberg 
sandyng424,@GretaThunberg 
TipOSpear1,@JoeBiden
TipOSpear1,@japan 
ms_pistolicious,@Olympics 
RJ_Lamendola,@lexfridman 
sladecrypto,@AmirAdnani
sladecrypto,@ENERGY 
VTONGIL,@SecBlinken. 
VTONGIL,@CNN 
VTONGIL,@UN_HRC
VTONGIL,@UN
VTONGIL,@UN
VTONGIL,@POTUS 
CaraSantaMaria,@scialert 
fly677,@POTUS 
fly677,@Greenpeace
fly677,@GretaThunberg 
fly677,@Love_SPIC
fly677,@Voilavee3 
fly677,@Love_SPIC
fly677,@Voilavee3 
fly677,@lexfridman 
fly677,@Greenpeace
fly677,@GretaThunberg 
fly677,@nowthisnews
fly677,@American_Girl 
fly677,@Love_SPIC
fly677,@Voilavee3 
fly677,@SecBlinken 
fly677,@StateDept 
fly677,@SecBlinken
fly677,@iaeaorg 
fly677,@POTUS 
UNANYC,@UN 
NeilYoungSaveUs,@MeetThePress
NeilYoungSaveUs,@POTUS
NeilYoungSaveUs,@japan
NeilYoungSaveUs,@JPN_PMO 
Ugincii,@SecDef 
LiliaDragonX,@disclosetv 
Vastuullisuus,@Vastuullisuus 
UN_HRC,@UN 
UN_HRC,@UN 
CGTNOfficial,@iaeaorg's 
CGTNOfficial,@HanPeng15040090 
WorldWithPaxton,@BenjaminDooley
WorldWithPaxton,"@imakiky,"
WorldWithPaxton,@Greenpeace's 
EliteReference,@Greenpeace 
socialsupermgr,@Reuters 
ipasta20,@UN_SPExperts 
BagalueSunab,@DavidJVivas1
BagalueSunab,@VisualPersist
BagalueSunab,@salhaj 
xyyhjk,@HuXijin_GT
xyyhjk,@IAEAorg 
xyyhjk,@yicloudDoctor
xyyhjk,@TaichiNumberOne
xyyhjk,@wangzhian8848
xyyhjk,@IAEAorg 
xyyhjk,@windtrack_QH
xyyhjk,@ErosGoood
xyyhjk,@zlj517
xyyhjk,@RafaelMGrossi 
FacelessManTwit,@the__dude98
FacelessManTwit,@koreanforeigner 
giocampa,@japantimes⁩ 
UNGeneva,@UN 
reuzbl,@pinaryoldas 
SeasideMP,@CNBC 
DanTheRocheMan,@sugawitter
DanTheRocheMan,@JPN_PMO 
JackLi01852610,@hosono_54 
JackLi01852610,@kimotokagayaki
JackLi01852610,@ishiitakaaki 
JackLi01852610,@kimotokagayaki
JackLi01852610,@ishiitakaaki
JackLi01852610,@ishiitakaaki 
jifogil9,@gasnickj
jifogil9,@hosono_54 
jifogil9,@gasnickj 
jifogil9,@hosono_54 
msimire,@iaeaorg
msimire,@UNEP_AsiaPac
msimire,@Greenpeace
msimire,@NnimmoB
msimire,@FriendsofOcean
msimire,@IUCN
msimire,@WWF
msimire,@oceana 
KingLaai0927,@515eQ08NhE6Wn1H
KingLaai0927,@globaltimesnews 
KingLaai0927,@Mediavenir 
aqviry,@Rover829 
VoiceofPD,@MFA_China
VoiceofPD,@zlj517 
minamaya13,@NationofChange 
MimiTexasAngel,@exxonmobil
MimiTexasAngel,@KochIndustries
MimiTexasAngel,@Halliburton
MimiTexasAngel,@POTUS
MimiTexasAngel,@GOP
MimiTexasAngel,@DNC
MimiTexasAngel,@NYSE 
UHMAsianStudies,"@waseda_univ, "
Jedis_Anakin,@iaeaorg 
asylum817,@anchor
asylum817,@spotifypodcasts 
Mamako_Hitakami,@Yoshi_MUROYA 
