餐廳名字,地址,地區,價格,餐廳種類,好評,差評,評論數,評分,人均價格,緯度,經度
Ember,銅鑼灣告士打道229-230號宇宙商業大廈地舖,銅鑼灣,$201-400,西式,510,5,534,4.5,300,22.28056,114.18667
Green Orange,上環永樂街50號昌盛大廈2樓,上環,$101-200,意大利菜,475,6,535,4.5,150,22.28694,114.14861
Amitie Kitchen,尖沙咀厚福街8號H8 9樓,尖沙咀,$201-400,意大利菜,505,3,535,4.5,300,22.2988,114.1722
Mr. Steak Buffet à la minute,銅鑼灣告士打道280號世貿中心6樓,銅鑼灣,$401-800,多國菜,328,58,536,4.0,600,22.28056,114.18667
登堂,觀塘興業街4號The Wave2樓,觀塘,$101-200,多國菜,431,25,537,4.0,150,22.31056,114.22278
平昌,旺角西洋菜街1號兆萬中心13樓,旺角,$101-200,韓國菜,431,26,539,4.0,150,22.315031,114.173134
古今二 (官塘工業中心),觀塘觀塘道436-446號官塘工業中心4期1樓B室,觀塘,$201-400,日本菜,433,7,539,4.0,300,22.31056,114.22278
火水爐冰室火鍋,旺角煙廠街33號朗廷軒1樓,旺角,$101-200,港式,445,24,541,4.0,150,22.315031,114.173134
Rimi Cafe,旺角登打士街43H號登打士廣場20樓,旺角,$101-200,西式,450,8,542,4.0,150,22.315031,114.173134
六公館,尖沙咀廣東道3-27號海港城海運大廈地下OTE 101號舖,尖沙咀,$401-800,粵菜 (廣東),371,28,543,4.0,600,22.2988,114.1722
Goobne Chicken (V Point ),銅鑼灣登龍街18號V Point 25樓,銅鑼灣,$101-200,韓國菜,463,13,545,4.0,150,22.28056,114.18667
和牛燒肉‧純,尖沙咀東部加連威老道96號希爾頓大廈1樓3號舖,尖沙咀,$401-800,日本菜,484,6,546,4.5,600,22.2988,114.1722
HeSheEat (綠楊坊),荃灣蕙荃路22-26號綠楊坊地下G15-16舗,荃灣,$51-100,西式,474,10,548,4.5,75,22.37806,114.10528
鮨文,元朗仁樂坊5號利發大廈地下E舖,元朗,$801以上,日本菜,502,11,549,4.5,801,22.44444,114.02583
我愛慢煮 (普慶坊),上環普慶坊18號地下G2號舖,上環,$101-200,多國菜,493,15,550,4.5,150,22.28694,114.14861
Orange Elephant Thai Restaurant (博文街),大角咀博文街42號,大角咀,$101-200,泰國菜,494,10,551,4.0,150,22.3198,114.1621
Ocio (積存街),大圍積存街74-76號地下A舖,大圍,$101-200,多國菜,429,30,552,4.0,150,22.3759,114.1786
滾得囍宮廷火鍋小炒,北角馬寶道33號馬寶學林1樓116-125號舖,北角,$201-400,粵菜 (廣東),498,9,553,4.5,300,22.2885,114.1928
凡高廚房,銅鑼灣軒尼詩道451-457號勝華樓2樓B室,銅鑼灣,$201-400,意大利菜,474,24,554,4.0,300,22.28056,114.18667
CURATOR BY LEX ART CAFÉ,尖沙咀梳士巴利道18號Victoria Dockside K11 Musea B1樓B113C號舖,尖沙咀,$101-200,西式,498,4,555,4.0,150,22.2988,114.1722
Shari Shari Kakigori House 氷屋,銅鑼灣希雲街14號地舖,銅鑼灣,$51-100,日本菜,405,6,555,4.0,75,22.28056,114.18667
i kitchen,觀塘巧明街106號冠力工業大廈201室,觀塘,$101-200,多國菜,486,10,559,4.0,150,22.31056,114.22278
翠林辣蟹舫,尖沙咀亞士厘道24-38號天星大廈1樓A號舖,尖沙咀,$101-200,粵菜 (廣東),510,14,561,4.5,150,22.2988,114.1722
餃掂手工餃子雲吞專門店,太子界限街30號地下,太子,$51-100,粵菜 (廣東),452,16,563,4.0,75,22.296091,114.173248
麻辣派對 (金百利廣場),銅鑼灣記利佐治街1號金百利廣場4樓R1號舖,銅鑼灣,$101-200,川菜 (四川),443,18,564,4.0,150,22.28056,114.18667
Chalet,荃灣青山公路407-411號金荃大廈地下B鋪 (8咪半對面),荃灣,$201-400,西式,492,19,567,4.0,300,22.37806,114.10528
Texas Burger,旺角亞皆老街8號朗豪坊12樓1A號舖,旺角,$51-100,西式,505,7,568,4.0,75,22.315031,114.173134
阿元來了 (鴻圖道),觀塘鴻圖道28號地下後座,觀塘,$51-100,台灣菜,291,28,570,4.0,75,22.31056,114.22278
Burgerman,深水埗欽州街65-71號地下,深水埗,$51-100,美國菜,480,16,571,4.0,75,22.32917,114.16028
SPICE Restaurant & Bar,尖沙咀諾士佛臺1號2樓,尖沙咀,$201-400,印度菜,507,11,572,4.5,300,22.2988,114.1722
一鍋堂 (大鴻輝(荃灣)中心),荃灣眾安街55號大鴻輝(荃灣)中心11樓,荃灣,$101-200,港式,458,11,573,4.5,150,22.37806,114.10528
MOO MOO,觀塘巧明街94-96號鴻圖中心地下1A號舖,觀塘,$51-100,西式,513,4,573,4.5,75,22.31056,114.22278
部屋咖啡室,旺角登打士街43H號登打士廣場12樓,旺角,$51-100,西式,490,15,573,4.0,75,22.315031,114.173134
羅東肉焿番,元朗鳳翔路69號建輝大廈地下5號舖,元朗,$51-100,台灣菜,446,13,573,4.0,75,22.44444,114.02583
成都老碼頭火鍋,旺角塘尾道61號地舖,旺角,$201-400,川菜 (四川),492,20,576,4.0,300,22.315031,114.173134
深宵食堂,銅鑼灣耀華街百樂中心6樓,銅鑼灣,$201-400,日本菜,509,18,577,4.0,300,22.28056,114.18667
酒鍋 (天文台道),尖沙咀天文台道8號2樓1號舖,尖沙咀,$201-400,粵菜 (廣東),454,25,579,4.0,300,22.2988,114.1722
尚鮮日式燒肉漁市場,銅鑼灣謝斐道496號金利文廣場3樓,銅鑼灣,$201-400,日本菜,420,50,580,4.0,300,22.28056,114.18667
16 Shell,天后炮台山蜆殼街6-16號寶榮大廈地下B舖,天后,$101-200,意大利菜,524,9,581,4.0,150,22.2824,114.1922
OPPA韓國燒肉店,大埔舊墟直街4-20號美新大廈地下B2舖,大埔,$101-200,韓國菜,522,16,582,4.0,150,22.448,114.16946000000002
瘋狂小面,中環士丹利街66-72號佳德商業大廈1樓,中環,$51-100,川菜 (四川),471,23,582,4.0,75,22.282598,114.16674
新南苑私房菜火鍋鷄煲 (華僑商業中心),旺角彌敦道678號華僑商業中心3樓,旺角,$201-400,港式,505,12,584,4.0,300,22.315031,114.173134
南瀛水產,尖沙咀金馬倫道5號太興廣場5樓,尖沙咀,$201-400,日本菜,524,21,586,4.5,300,22.2988,114.1722
甜牙牙,旺角廣華街3號百利達廣場地下4號舖,旺角,$50以下,港式,388,67,586,3.5,50,22.315031,114.173134
泰屋,旺角彌敦道726號2樓,旺角,$101-200,泰國菜,504,10,588,4.0,150,22.315031,114.173134
Bellevue Bar and Grill,旺角彌敦道558-560號譽發廣場23樓,旺角,$201-400,西式,514,5,591,4.5,300,22.315031,114.173134
Outdark (厚福街),尖沙咀厚福街8號H8 17樓,尖沙咀,$101-200,韓國菜,490,13,594,4.0,150,22.2988,114.1722
德美壽司,尖沙咀厚福街8號H8 5樓,尖沙咀,$101-200,日本菜,452,16,595,4.0,150,22.2988,114.1722
茶墨,尖沙咀彌敦道100號The ONE 4樓L411號舖,尖沙咀,$50以下,日本菜,446,13,595,4.0,50,22.2988,114.1722
醉胡爐,尖沙咀柯士甸路20號保發商業大廈地舖,尖沙咀,$201-400,港式,537,7,599,4.5,300,22.2988,114.1722
桂花小幸 (將軍澳廣場),將軍澳唐德街1號將軍澳廣場1樓133-135號舖,將軍澳,$51-100,台灣菜,482,18,600,4.0,75,22.309093,114.261688
Olive Cafe (新領域廣場),荃灣西樓角路1-17號新領域廣場地下4號舖,荃灣,$51-100,西式,463,35,600,4.0,75,22.37806,114.10528
The Point - Pizza & Pasta (The ONE),尖沙咀彌敦道100號The ONE 4樓409號舖,尖沙咀,$101-200,意大利菜,457,19,601,4.0,150,22.2988,114.1722
雅 ‧悠蔬食,尖沙咀金馬倫道48號中國保險大廈3樓B號舖,尖沙咀,$101-200,多國菜,499,14,606,4.0,150,22.2988,114.1722
OPPA韓國燒肉店,旺角洗衣街117號建煌華廈地下,旺角,$101-200,韓國菜,520,18,609,4.0,150,22.315031,114.173134
The Right Place (寶勒巷),尖沙咀寶勒巷17-19號地下,尖沙咀,$101-200,多國菜,563,5,609,4.0,150,22.2988,114.1722
Shake Shack (國際金融中心),中環港景街1號國際金融中心4樓4018號舖,中環,$51-100,美國菜,323,22,609,4.0,75,22.282598,114.16674
Lex Coffee,西環堅尼地城卑路乍街100號地舖,西環,$101-200,西式,507,10,612,4.0,150,22.28352441,114.1401891
樓下冰室,荃灣路德圍14-18號B舖,荃灣,$51-100,港式,478,10,612,4.0,75,22.37806,114.10528
小曼谷海鮮燒烤屋,九龍城太子道西398號御太子地下1-3號舖,九龍城,$101-200,泰國菜,516,19,614,4.0,150,22.31944,114.17778
嵐山日本料理,尖沙咀棉登徑11號地舖,尖沙咀,$201-400,日本菜,548,8,614,4.0,300,22.2988,114.1722
Misu Seafood Cuisine,灣仔皇后大道東202號QRE Plaza 26樓,灣仔,$101-200,多國菜,580,2,615,4.5,150,22.2775,114.17306
吃吧,旺角彌敦道566-568號僑建大廈2樓2室,旺角,$101-200,西式,537,6,616,4.0,150,22.315031,114.173134
六両三,尖沙咀宜昌街3號地下,尖沙咀,$51-100,台灣菜,436,34,617,4.0,75,22.2988,114.1722
熊本燒肉,銅鑼灣謝斐道477-481號3樓,銅鑼灣,$201-400,日本菜,491,43,618,4.0,300,22.28056,114.18667
御膳,觀塘敬業街65-67號敬運工業大廈12樓F室,觀塘,$201-400,粵菜 (廣東),521,27,623,4.0,300,22.31056,114.22278
村爺爺龍蝦湯.泡飯.燉湯專家,油麻地砵蘭街72號地下,油麻地,$51-100,港式,439,42,623,4.0,75,22.3069,114.1714
喜鍋 海鮮‧火鍋‧小廚,旺角上海街428號地舖,旺角,$201-400,港式,607,2,624,4.5,300,22.315031,114.173134
哈豆,觀塘駿業里6號富利工業大廈3樓A室,觀塘,$50以下,台灣菜,536,9,624,4.0,50,22.31056,114.22278
Chef's Stage Kitchen (愉景新城),荃灣青山公路荃灣段398號愉景新城1樓1056D&1058號舖,荃灣,$201-400,西式,549,6,625,4.5,300,22.37806,114.10528
Fifty Fifty,長沙灣東沙島街青山道181號地下C舖,長沙灣,$51-100,意大利菜,534,13,626,4.0,75,22.3358,114.1495
咖啡灣 (荃灣千色匯),荃灣眾安街68號荃灣千色匯II期地下G30-G33號舖,荃灣,$51-100,西式,422,34,628,4.0,75,22.37806,114.10528
金鶴拉麵 (閩街),佐敦閩街3號地舖,佐敦,$101-200,日本菜,548,11,629,4.5,150,22.3049,114.1692
磯野水產,銅鑼灣軒尼詩道525號澳門逸園中心19樓,銅鑼灣,$201-400,日本菜,609,3,629,4.5,300,22.28056,114.18667
FireBird,銅鑼灣邊寧頓街13號隆堡柏寧頓酒店地下,銅鑼灣,$201-400,日本菜,565,15,633,4.0,300,22.28056,114.18667
極尚大瀛喜日本料理,觀塘觀塘道414號1亞太中心5樓,觀塘,$201-400,日本菜,511,12,633,4.0,300,22.31056,114.22278
LOST STARS LIVEHOUSE BAR & EATERY,大角咀利得街11號利奥坊一期地下506號舖,大角咀,$101-200,多國菜,581,8,634,4.5,150,22.3198,114.1621
am.pm,油麻地彌敦道560譽發廣場地下B舖,油麻地,$50以下,西式,382,37,636,4.0,50,22.3069,114.1714
渝味曉宇重慶老火鍋 (太子集團中心),尖沙咀北京道12A號太子集團中心19樓,尖沙咀,$201-400,川菜 (四川),582,6,645,4.5,300,22.2988,114.1722
Milu Thai มิลู่ไทย,銅鑼灣耀華街3號百樂中心2樓,銅鑼灣,$101-200,泰國菜,585,5,646,4.5,150,22.28056,114.18667
スーパー丼,銅鑼灣駱克道501號地舖,銅鑼灣,$101-200,日本菜,503,32,646,4.0,150,22.28056,114.18667
Mamaday,尖沙咀加連威老道29號信基商業中心2樓,尖沙咀,$101-200,多國菜,571,9,648,4.5,150,22.2988,114.1722
Cafe Paradise (砵蘭街),太子砵蘭街412號地舖,太子,$51-100,意大利菜,588,5,648,4.0,75,22.296091,114.173248
Espuma (QRE Plaza),灣仔皇后大道東202號QRE Plaza 25樓,灣仔,$101-200,西班牙菜,523,21,650,4.0,150,22.2775,114.17306
圓山台灣料理,尖沙咀金巴利道25號長利商業大廈1及2樓,尖沙咀,$201-400,台灣菜,573,8,650,4.0,300,22.2988,114.1722
Cosmos Restaurant & Bar,尖沙咀寶勒巷27號東滙商業大厦地舖,尖沙咀,$101-200,西式,549,27,651,4.0,150,22.2988,114.1722
Bakehouse,灣仔大王東街14號地舖,灣仔,$51-100,西式,446,18,652,4.0,75,22.2775,114.17306
一鍋堂 (XX Arcade),旺角豉油街60-104號XX Arcade東翼2樓,旺角,$101-200,港式,562,8,655,4.5,150,22.315031,114.173134
串酒里,尖沙咀山林道6號B舖 (漢國中心對面),尖沙咀,$201-400,日本菜,586,18,656,4.0,300,22.2988,114.1722
老川皇,旺角登打士街32號歐美廣場1樓,旺角,$51-100,川菜 (四川),526,24,656,4.0,75,22.315031,114.173134
Non Kitchen,觀塘鴻圖道12精棉工業大廈1樓,觀塘,$201-400,西式,618,5,658,4.5,300,22.31056,114.22278
LAB EAT Restaurant & Bar (T.O.P This is Our Place),旺角彌敦道700號T.O.P. This is Our Place 5樓502號舖,旺角,$201-400,西式,521,25,658,4.5,300,22.315031,114.173134
築地日本料理 (金百利廣場),銅鑼灣記利佐治街1號金百利廣場7樓R1室,銅鑼灣,$101-200,日本菜,581,17,660,4.0,150,22.28056,114.18667
18樓雞煲火鍋專門店,荃灣眾安街55號大鴻輝(荃灣)中心18樓,荃灣,$101-200,粵菜 (廣東),607,3,663,4.5,150,22.37806,114.10528
樂天大喜屋,旺角彌敦道593-601號創興廣場2樓,旺角,$201-400,日本菜,487,23,663,4.0,300,22.315031,114.173134
羲和雅苑,尖沙咀廣東道3-27號海港城海運大廈2樓OTE203號舖,尖沙咀,$401-800,京菜 (官府菜),473,55,664,4.0,600,22.2988,114.1722
初見,荃灣海壩街22號華達樓地下F號舖,荃灣,$101-200,日本菜,578,12,665,4.0,150,22.37806,114.10528
Steak Bar,銅鑼灣登龍街36-48號登輝大廈地下B號舖,銅鑼灣,$101-200,日本菜,533,27,667,4.0,150,22.28056,114.18667
吞POT 雞煲火鍋.住家菜,旺角彌敦道726號23樓,旺角,$101-200,港式,601,3,667,4.0,150,22.315031,114.173134
Orange Elephant Thai Restaurant (啟德道),九龍城啟德道31-33號地舖,九龍城,$101-200,泰國菜,562,17,667,4.0,150,22.31944,114.17778
慢理牆城,油麻地砵蘭街28號M1酒店1樓,油麻地,$201-400,西式,534,19,667,4.0,300,22.3069,114.1714
Grill ขุนทอง,中環蘭桂坊德己立街17-19號地下,中環,$101-200,泰國菜,627,2,668,4.0,150,22.282598,114.16674
Burgerman,大角咀埃華街95-97號地下,大角咀,$51-100,美國菜,590,14,668,4.0,75,22.3198,114.1621
Fûhn (The L. Square),銅鑼灣駱克道459-461號The L. Square 1樓,銅鑼灣,$101-200,越南菜,539,20,669,4.0,150,22.28056,114.18667
Odelice! (蘭杜街),灣仔蘭杜街2號地下9號舖,灣仔,$101-200,法國菜,543,27,672,4.0,150,22.2775,114.17306
Odelice! (The ONE),尖沙咀彌敦道100號The ONE4樓L407號舖,尖沙咀,$201-400,法國菜,535,20,676,4.0,300,22.2988,114.1722
8鍋臭臭鍋 (金巴利道),尖沙咀金巴利道77號地舖,尖沙咀,$101-200,台灣菜,504,16,681,4.0,150,22.2988,114.1722
Lockeroom Dining (朗晴坊),旺角砵蘭街215號朗晴坊8樓,旺角,$101-200,西式,645,0,683,4.5,150,22.315031,114.173134
The Market,尖沙咀科學館道17號唯港薈2樓,尖沙咀,$401-800,多國菜,449,47,684,4.0,600,22.2988,114.1722
The Place,旺角上海街555號香港康得思酒店L樓層,旺角,$401-800,多國菜,354,89,689,3.5,600,22.315031,114.173134
響 - Hibiki 日本燒肉,佐敦白加士街101號珀軒1樓,佐敦,$201-400,日本菜,598,30,696,4.5,300,22.3049,114.1692
Le Viet,尖沙咀彌敦道100號The ONE 4樓L402舖,尖沙咀,$101-200,越南菜,554,26,699,4.0,150,22.2988,114.1722
Plato Cafe & Bistro (吳松街),佐敦吳松街186-188號地舖,佐敦,$101-200,意大利菜,609,21,700,4.0,150,22.3049,114.1692
極尚大瀛喜日本料理,銅鑼灣駱克道463-483號銅鑼灣廣場二期11樓,銅鑼灣,$201-400,日本菜,583,12,700,4.0,300,22.28056,114.18667
Hami Harmony,太子西洋菜北街161號地下A舖,太子,$101-200,意大利菜,538,30,704,4.0,150,22.296091,114.173248
滿屋日本料理,荃灣眾安街55號大鴻輝(荃灣)中心10樓,荃灣,$201-400,日本菜,566,67,704,4.0,300,22.37806,114.10528
Home Sweet Home,太子基隆街13號永基樓地舖,太子,$201-400,西式,615,30,709,4.0,300,22.296091,114.173248
鮨一日本料理 (厚福街),尖沙咀厚福街12號藍馬商業大廈18樓,尖沙咀,$201-400,日本菜,560,28,713,4.0,300,22.2988,114.1722
彌敦左岸,尖沙咀赫德道5-9號德裕中心地下及1樓,尖沙咀,$201-400,西式,633,9,714,4.0,300,22.2988,114.1722
Goobne Chicken (瓊華中心),旺角彌敦道628號瓊華中心15樓,旺角,$101-200,韓國菜,519,23,717,4.0,150,22.315031,114.173134
Espresso Alchemy,尖沙咀彌敦道132號美麗華商場B1層B116號舖,尖沙咀,$101-200,西式,636,10,718,4.0,150,22.2988,114.1722
掌壽司,觀塘開源道60號駱駝漆大廈3座5樓U室,觀塘,$201-400,日本菜,583,31,718,4.0,300,22.31056,114.22278
ATUM Restaurant,尖沙咀河內道18號K11購物藝術館1樓101B號舖,尖沙咀,$201-400,西式,566,30,722,4.0,300,22.2988,114.1722
極尚大喜屋 (加連威老道),尖沙咀加連威老道2-6號愛賓商業大廈1樓102號舖,尖沙咀,$201-400,日本菜,512,31,727,4.0,300,22.2988,114.1722
FLIPPER'S,銅鑼灣軒尼詩道500號希慎廣場6樓i.t blue block,銅鑼灣,$51-100,日本菜,429,41,734,4.0,75,22.28056,114.18667
DK Cuppa Tea,上環新街市街19號地舖,上環,$201-400,西式,642,7,740,4.0,300,22.28694,114.14861
和匠日式燒肉店,佐敦長樂街23-27號德威大廈地下3號舖,佐敦,$201-400,日本菜,672,20,740,4.0,300,22.3049,114.1692
殿 大喜屋,尖沙咀金巴利道26號1樓,尖沙咀,$201-400,日本菜,524,28,747,4.0,300,22.2988,114.1722
一起果醬,尖沙咀松山道15-17號地下D舖,尖沙咀,$101-200,西式,604,28,754,4.0,150,22.2988,114.1722
