餐廳名字,地址,地區,價格,餐廳種類,好評,差評,評論數,評分,人均價格,緯度,經度
Uncle Pizza  Pasta & Grill,中環伊利近街25號地下,中環,$101-200,意大利菜,270,7,4,3.5,150,22.282598,114.16674
Le Viet,旺角彌敦道636號銀行中心1樓101-106,旺角,$101-200,越南菜,543,6,4,3.5,150,22.315031,114.173134
Wheatfield X 羅宋湯專門店 (東薈城),東涌達東路20號東薈城二期名店倉7樓703號舖,東涌,$51-100,多國菜,55,2,68,4.0,75,22.2874,113.9425
牛角次男坊 (東薈城),東涌達東路20號東薈城2期7樓706號舖,東涌,$51-100,日本菜,39,3,73,4.0,75,22.2874,113.9425
島中坊研,長洲中學路16號地下,長洲,$50以下,西式,53,1,76,4.0,50,22.2016,114.0265
Amante Bar & Restaurant,東涌富東村富東商場地下1號舖,東涌,$101-200,西式,68,1,79,4.5,150,22.2874,113.9425
金子半之助 (東薈城),東涌達東路20號東薈城名店倉1樓101A號舖,東涌,$51-100,日本菜,57,4,79,4.0,75,22.2874,113.9425
A Tavola Bar & Grill,東涌海濱路8號海堤灣畔地下E&F號舖,東涌,$101-200,意大利菜,70,0,80,4.5,150,22.2874,113.9425
啡寮,長洲新興街4號地下,長洲,$50以下,西式,49,1,84,4.0,50,22.2016,114.0265
華特餐廳,大嶼山香港迪士尼樂園酒店3樓,大嶼山,$201-400,西式,63,3,90,4.0,300,22.26806,113.9425
漁樂,長洲大新海傍路81B地下,長洲,$50以下,港式,63,1,95,4.5,50,22.2016,114.0265
E FOR EGG,大圍積運街2-8號海福商場地下2號舖,大圍,$50以下,韓國菜,63,1,100,4.0,50,22.3759,114.1786
潯,沙田石門安群街3號京瑞廣場1期1樓150號舖,沙田,$51-100,西式,92,2,100,4.5,75,22.3827,114.19191
木船泰國粉麵專門店,大埔翠怡街3號翠怡花園A座地下34號舖,大埔,$51-100,泰國菜,98,0,102,4.5,75,22.448,114.16946000000002
雲桂川冰室,屯門龍門路45號富健花園地下15號舖,屯門,$51-100,港式,98,0,104,4.5,75,22.395,113.97222
Peko Peko Eatery (海之戀商場),荃灣大河道100號海之戀商場1樓1006-1007號舖,荃灣,$101-200,多國菜,77,3,106,4.0,150,22.37806,114.10528
木屋大排檔,大埔大埔太和路15號太和中心地下27-28號舖,大埔,$101-200,泰國菜,96,0,106,4.5,150,22.448,114.16946000000002
素年,荃灣三陂坊20號地舖,荃灣,$101-200,日本菜,99,3,109,4.5,150,22.37806,114.10528
馬拉公公,屯門屯門鄉事會路112-140號雅都商場Go Go Mall1樓S69號舖,屯門,$50以下,馬來西亞菜,107,1,115,4.5,50,22.395,113.97222
維港灣餃子坊,元朗水車館街74號地舖,元朗,$50以下,港式,91,10,116,4.0,50,22.44444,114.02583
滿樂潮州,東涌達東路20號東薈城名店倉地下22號舖,東涌,$101-200,潮州菜,87,6,119,4.0,150,22.2874,113.9425
譽宴．星海薈,沙田安平街1號香港沙田萬怡酒店1樓,沙田,$201-400,粵菜 (廣東),113,1,119,4.5,300,22.3827,114.19191
四點金飯店,將軍澳貿業路8號新都城中心2期UG樓UG051i號舖,將軍澳,$101-200,潮州菜,103,2,120,4.5,150,22.309093,114.261688
原點,元朗馬田路20-30B號安寧大廈地下4號舖,元朗,$50以下,港式,103,2,121,4.5,50,22.44444,114.02583
APT. Coffee,灣仔月街2-12號地下A&B號舖,灣仔,$51-100,西式,91,3,121,4.0,75,22.2775,114.17306
老掌櫃東北菜館 (海之戀商場),荃灣大河道100號海之戀商場2樓2006號舖,荃灣,$51-100,東北菜,71,11,122,4.0,75,22.37806,114.10528
雞翼山 (新都會廣場),葵芳興芳路223號新都會廣場1樓180號舖,葵芳,$51-100,港式,114,0,124,4.5,75,22.3578,114.1298
RISE Kitchen,將軍澳唐賢街29號藍塘傲地下4號舖,將軍澳,$101-200,法國菜,99,9,125,4.0,150,22.309093,114.261688
鹵家,元朗教育路68號兆豐樓地下10及14號舖,元朗,$51-100,港式,113,1,126,4.5,75,22.44444,114.02583
九丁目日本料理,元朗西菁街23號K Plus地下G25-28號舖,元朗,$101-200,日本菜,114,0,127,4.5,150,22.44444,114.02583
616牛肉火鍋專門店 (三陂坊),荃灣三陂坊14-18號安安樓地下B號舖,荃灣,$101-200,港式,106,0,128,4.5,150,22.37806,114.10528
阿四車仔麵,粉嶺聯和墟和豐街59號地舖,粉嶺,$50以下,港式,113,5,128,4.0,50,22.4917,114.1415
新泰東南亞餐廳,馬鞍山西沙路608號馬鞍山廣場2樓259及260A號舖,馬鞍山,$101-200,越南菜,110,4,129,4.5,150,22.4277,114.2403
百芳池上便當 (大河道),荃灣大河道88號灣景廣場購物中心永旺灣景店地下G03號舖,荃灣,$51-100,台灣菜,101,1,129,4.5,75,22.37806,114.10528
韓閣,將軍澳欣景路8號新都城中心2期1015號舖,將軍澳,$51-100,韓國菜,101,6,129,4.0,75,22.309093,114.261688
凱逸餐室,元朗西菁街9號富盛大廈地下3-4號舖,元朗,$51-100,港式,115,1,130,4.0,75,22.44444,114.02583
MARKA HOUSE,荃灣大河道98號如心廣場二期1樓119號舖,荃灣,$101-200,意大利菜,107,0,131,4.5,150,22.37806,114.10528
醉辣鮮,元朗新田村路300號新田購物城地下F7號舖,元朗,$201-400,粵菜 (廣東),124,0,131,4.5,300,22.44444,114.02583
越瀧棧越南菜館,粉嶺聯和墟聯和路3號富貴樓地舖,粉嶺,$50以下,越南菜,114,2,131,4.0,50,22.4917,114.1415
Fleur,荃灣白田壩街45號南豐紗廠地下G08號舖,荃灣,$101-200,西式,94,2,134,4.0,150,22.37806,114.10528
溏串小町,大埔翠和里5號麗和閣地下D1號舖,大埔,$101-200,日本菜,116,8,136,4.0,150,22.448,114.16946000000002
牛大人台灣火鍋吃到飽 (銅鑼灣廣場二期),銅鑼灣駱克道463-483號銅鑼灣廣場二期5樓,銅鑼灣,$101-200,台灣菜,120,2,137,4.5,150,22.28056,114.18667
CoHee Studio,元朗錦田市街152號地舖,元朗,$51-100,西式,94,1,138,4.0,75,22.44444,114.02583
好湯好麵,大圍積存街20號地舖,大圍,$51-100,粵菜 (廣東),101,1,138,4.0,75,22.3759,114.1786
Little Mario's Pizzeria (活@KCC ),葵涌葵昌路72-76號活@KCC地下G02號舖,葵涌,$101-200,意大利菜,128,4,139,4.5,150,22.3669,114.1303
大澳餅店,大澳吉慶街66號,大澳,$50以下,港式,98,0,139,4.0,50,22.2523,113.8661
Odelice! (PopCorn),將軍澳唐賢街9號PopCorn商場1樓F23號舖,將軍澳,$101-200,法國菜,115,8,141,4.5,150,22.309093,114.261688
The Point - Pizza & Pasta (如心廣場),荃灣大河道98號如心廣場二期2樓214號舖,荃灣,$101-200,意大利菜,107,4,141,4.0,150,22.37806,114.10528
閨•家,北角蜆殻街6-16號寶榮大廈地下F號舖,北角,$50以下,港式,123,2,142,4.5,50,22.2885,114.1928
Vici Stage,荃灣沙咀道325-331號德仁樓地下B舖,荃灣,$101-200,西式,138,2,144,4.5,150,22.37806,114.10528
濠客蒸氣海鮮,元朗鳯攸南街3號好順景大廈地下13號舖,元朗,$201-400,港式,134,2,146,4.5,300,22.44444,114.02583
木玥巷,屯門井財街7號力生大廈地下4-5號舖,屯門,$101-200,台灣菜,136,0,147,4.5,150,22.395,113.97222
La Postre (荃灣廣場),荃灣大壩街4-30號荃灣廣場B1樓B109-B110號舖,荃灣,$201-400,西班牙菜,106,8,147,4.0,300,22.37806,114.10528
泰豪燒,元朗又新街37-51號富祐閣地下14號舖,元朗,$101-200,港式,133,5,149,4.0,150,22.44444,114.02583
hōmu by favilla,荃灣青山公路荃灣段398號愉景新城2樓2013號舖,荃灣,$101-200,日本菜,92,7,150,4.0,150,22.37806,114.10528
六小館,東涌達東路20號東薈城名店倉6樓601號舖,東涌,$101-200,粵菜 (廣東),133,3,150,4.5,150,22.2874,113.9425
Involtini Italian Cuisine,銅鑼灣駱克道459-461號 The L. Square 11樓,銅鑼灣,$201-400,意大利菜,121,6,152,4.0,300,22.28056,114.18667
Coffee Art,將軍澳貿業路8號新都城中心1期地下G95號舖,將軍澳,$51-100,意大利菜,114,7,152,4.0,75,22.309093,114.261688
廿一前,荃灣眾安街55號大鴻輝(荃灣)中心21樓B號舖,荃灣,$101-200,日本菜,121,9,153,4.0,150,22.37806,114.10528
大越越南餐廳,沙田沙角街8-12號花園城一期地下2號舖,沙田,$51-100,越南菜,137,2,153,4.5,75,22.3827,114.19191
牛極 (大河道),荃灣大河道77-89號寶成樓地下9號舖,荃灣,$51-100,日本菜,135,1,153,4.5,75,22.37806,114.10528
嘉寶漢堡,葵涌青山公路葵涌段499號嘉寶大廈地下A&B號舖,葵涌,$51-100,港式,120,5,154,4.0,75,22.3669,114.1303
馬祖 (海之戀商場),荃灣大河道100號海之戀商場地下G03號舖,荃灣,$101-200,台灣菜,125,11,156,4.0,150,22.37806,114.10528
WM Café & Bar (海之戀商場),荃灣大河道100號海之戀商場3樓3094號舖,荃灣,$51-100,西式,129,7,156,4.0,75,22.37806,114.10528
Pici,中環蘇豪鴨巴甸街24-26號地舖,中環,$201-400,意大利菜,110,7,158,4.0,300,22.282598,114.16674
長洲角酪,長洲新興街78號地舖,長洲,$50以下,港式,111,1,158,4.5,50,22.2016,114.0265
Coffever,銅鑼灣富明街2-6號寶明大廈3樓C室,銅鑼灣,$51-100,西式,143,4,158,4.5,75,22.28056,114.18667
Chotto Maki,灣仔廈門街33號地舖,灣仔,$51-100,日本菜,159,0,162,4.5,75,22.2775,114.17306
Sol House 親和藝術,荃灣享和街43-59號都城大廈地下57A號舖,荃灣,$201-400,西式,137,4,163,4.5,300,22.37806,114.10528
花居酒屋,荃灣海壩街108-114號荃碧大廈地舖,荃灣,$101-200,日本菜,146,0,164,4.5,150,22.37806,114.10528
慧食貓,葵芳葵富路7號葵涌廣場1樓B01C號舖,葵芳,$50以下,港式,122,0,164,4.5,50,22.3578,114.1298
Spring field,灣仔汕頭街25號地舖,灣仔,$51-100,越南菜,133,5,164,4.5,75,22.2775,114.17306
塚田農場,沙田沙田正街18號新城市廣場1樓105號舖,沙田,$101-200,日本菜,100,13,165,4.0,150,22.3827,114.19191
Just Eat,西環英華臺1-6號華輝閣地下2-3號舖,西環,$51-100,越南菜,160,1,165,4.5,75,22.28352441,114.1401891
叁嘗,天后歌頓道1號DIVA地下1A號舖,天后,$101-200,日本菜,139,1,166,4.5,150,22.2824,114.1922
韓閣,荃灣青山公路275號富裕樓地下G4-6號舖,荃灣,$101-200,韓國菜,128,12,166,4.0,150,22.37806,114.10528
兄弟工房,沙田石門安群街3號京瑞廣場一期地下G43號舖,沙田,$101-200,西式,151,3,166,4.0,150,22.3827,114.19191
譽宴．星海薈,銅鑼灣波斯富街99號利舞臺廣場5樓,銅鑼灣,$201-400,粵菜 (廣東),160,0,167,4.5,300,22.28056,114.18667
NINETYs (些利街),中環些利街2-4號地舖,中環,$201-400,西式,141,5,167,4.5,300,22.282598,114.16674
Pici,沙田沙田正街18號新城市廣場第一期2樓251號舖,沙田,$201-400,意大利菜,120,9,167,4.0,300,22.3827,114.19191
NUTTEA (海光街),鰂魚涌海光街36號地下2號舖,鰂魚涌,$50以下,台灣菜,141,2,167,4.5,50,22.28306,114.21278
Platform,大圍田心村254號地舖,大圍,$51-100,多國菜,117,7,167,4.0,75,22.3759,114.1786
A Tavola Bar & Grill,將軍澳澳南海岸唐俊街23號MONTEREY Place 地下G08號舖,將軍澳,$201-400,意大利菜,150,4,169,4.5,300,22.309093,114.261688
台北巷弄,將軍澳唐德街1號將軍澳廣場1樓006號舖,將軍澳,$51-100,台灣菜,156,1,169,4.5,75,22.309093,114.261688
Casa Cafe & Bistro,馬鞍山鞍駿街29號海澄軒地下4號舖,馬鞍山,$51-100,西式,143,1,169,4.0,75,22.4277,114.2403
Mango Mania,北角和富道21-53號和富地下G18C號舖,北角,$50以下,泰國菜,148,3,170,4.5,50,22.2885,114.1928
果子,大埔汀角路11-13號啓昌樓地下13號舖,大埔,$51-100,新加坡菜,145,1,170,4.5,75,22.448,114.16946000000002
陳根記,沙田石門安群街3號京瑞廣場二期地下5號舖,沙田,$101-200,粵菜 (廣東),96,7,171,3.5,150,22.3827,114.19191
大圍小館,大圍積福街92號地舖,大圍,$101-200,粵菜 (廣東),136,2,172,4.5,150,22.3759,114.1786
十二味 (如心廣場),荃灣大河道98號如心廣場二期2樓215號舖,荃灣,$101-200,川菜 (四川),136,5,172,4.0,150,22.37806,114.10528
Good Times Restaurant And Bar,粉嶺聯和墟和豐街28號囍逸地下G06-G07A號舖,粉嶺,$201-400,多國菜,133,8,172,4.0,300,22.4917,114.1415
小茶角,屯門湖翠路138號啟豐商場地下1A4號舖,屯門,$50以下,港式,159,0,172,4.5,50,22.395,113.97222
榕記車仔麵,將軍澳寶琳貿業路8號新都城中心3期21號地舖,將軍澳,$50以下,港式,126,10,172,4.0,50,22.309093,114.261688
Honbo,荃灣白田壩街45號南豐紗廠3樓303號舖,荃灣,$51-100,美國菜,149,4,172,4.0,75,22.37806,114.10528
The Ground Kitchen,西環西營盤水街47號地舖,西環,$201-400,西式,157,1,173,4.5,300,22.28352441,114.1401891
阿爺燒鵝餐室,大圍大圍道1-35號金山樓地下11A2號舖,大圍,$51-100,港式,161,5,175,4.0,75,22.3759,114.1786
Orange Elephant Thai Restaurant,北角和富道21-53號和富中心地下G18B號舖,北角,$101-200,泰國菜,159,2,176,4.5,150,22.2885,114.1928
L'AMOUR,大埔大埔太和路15號太和中心地下38號舖,大埔,$201-400,法國菜,161,2,176,4.5,300,22.448,114.16946000000002
戀上台式料理,將軍澳唐俊街21號翩匯坊地下G26號舖,將軍澳,$51-100,台灣菜,127,13,176,4.0,75,22.309093,114.261688
Drink氣鍋,火炭坳背灣街38-40號華衛工業中心地下4號G舖,火炭,$201-400,粵菜 (廣東),163,4,177,4.5,300,22.3986,114.1929
The Optimist,灣仔軒尼詩道239號地下至2樓,灣仔,$201-400,西班牙菜,113,5,178,4.0,300,22.2775,114.17306
竺扶大班燒味,灣仔三角街2-3號華欣閣地下3號舖,灣仔,$51-100,港式,162,3,178,4.5,75,22.2775,114.17306
留白,荃灣西樓角路202-216號荃昌中心昌寧商場地下12號舖,荃灣,$51-100,西式,134,1,178,4.0,75,22.37806,114.10528
JOMO Kitchen & Health Hub,將軍澳澳南海岸唐俊街23號MONTEREY Place 地下G01號舖,將軍澳,$101-200,多國菜,107,8,181,4.0,150,22.309093,114.261688
饞•台式幸福食堂,荃灣大河道98號如心廣場二期1樓122號舖,荃灣,$51-100,台灣菜,160,2,181,4.0,75,22.37806,114.10528
一鳴丼食堂,大埔運頭街20-26號廣安大廈地下F舖,大埔,$101-200,日本菜,174,3,184,4.5,150,22.448,114.16946000000002
湘川滬 (粉嶺中心),粉嶺新運路33號粉嶺中心購物商場1樓212A號舖,粉嶺,$101-200,川菜 (四川),140,3,184,4.0,150,22.4917,114.1415
百芳池上便當 (希慎廣場),銅鑼灣軒尼詩道500號希慎廣場11樓,銅鑼灣,$51-100,台灣菜,157,2,184,4.0,75,22.28056,114.18667
天丼,青衣青敬路33號青衣城地下G02號舖,青衣,$51-100,日本菜,109,7,185,4.0,75,22.3475,114.1025
Doubleshot by Cupping Room,中環蘇豪荷李活道49號鴻豐商業中心1樓,中環,$101-200,西式,135,2,186,4.0,150,22.282598,114.16674
山旮旯,銅鑼灣摩理臣山道84-86號香港銅鑼灣太平洋帆船酒店地下,銅鑼灣,$101-200,多國菜,103,9,186,4.0,150,22.28056,114.18667
Food Combo,屯門鄉事會路88號The Parkville地下6號鋪,屯門,$101-200,多國菜,158,3,187,4.5,150,22.395,113.97222
BYOB Coffee Roaster,屯門青桃徑5號文翔大廈地下2A號舖,屯門,$51-100,西式,105,8,188,4.0,75,22.395,113.97222
北海道食堂,沙田橫壆街2-16號沙田中心商場3樓50及57號舖,沙田,$101-200,日本菜,151,8,189,4.0,150,22.3827,114.19191
大茶飯,將軍澳唐德街9號將軍澳中心1樓137B號舖,將軍澳,$51-100,台灣菜,129,22,189,4.0,75,22.309093,114.261688
蟹慶,銅鑼灣軒尼詩道525號澳門逸園中心地庫,銅鑼灣,$201-400,日本菜,169,3,190,4.5,300,22.28056,114.18667
Alto,銅鑼灣登龍街18號V Point 31樓,銅鑼灣,$401-800,西式,98,19,190,3.5,600,22.28056,114.18667
馬祖台灣養生湯麵館 (和安里),中環和安里6-7號聯安樓地下及M樓,中環,$51-100,台灣菜,168,2,190,4.5,75,22.282598,114.16674
No Milkshake No Life (山道),西環石塘咀山道31-37號地下A舖,西環,$101-200,西式,127,3,191,4.0,150,22.28352441,114.1401891
三一餃子,中環利源西街7號地舖,中環,$51-100,日本菜,148,4,191,4.0,75,22.282598,114.16674
Vivienne Westwood Café,銅鑼灣百德新街27-47號Fashion Walk 1樓F-8號舖,銅鑼灣,$101-200,英國菜,149,5,192,4.0,150,22.28056,114.18667
家上海 (形點),元朗元龍街9號形點一期1樓1058號舖,元朗,$101-200,滬菜 (上海),112,9,192,4.0,150,22.44444,114.02583
一番日本料理,元朗教育路29號地下C舖,元朗,$51-100,日本菜,142,17,192,4.0,75,22.44444,114.02583
Duck & Waffle,中環港景街1號國際金融中心1樓1081號舖,中環,$201-400,英國菜,122,11,193,4.0,300,22.282598,114.16674
鱻潮手工私房鍋,沙田博康邨熟食市場8號舖,沙田,$201-400,港式,160,8,193,4.0,300,22.3827,114.19191
四寶食堂,銅鑼灣謝斐道482號兆安廣場地下1-3號舖,銅鑼灣,$50以下,港式,171,1,194,4.5,50,22.28056,114.18667
長洲冰室,長洲北社海旁19C號地下,長洲,$50以下,港式,102,9,194,4.0,50,22.2016,114.0265
EverShine,中環卑利街13號地下,中環,$51-100,西式,161,0,194,4.5,75,22.282598,114.16674
當下 (和富道),北角和富道126號地舖,北角,$101-200,西式,166,9,195,4.0,150,22.2885,114.1928
古今二 (荃灣千色匯),荃灣眾安街68號荃灣千色匯1期3樓3013號舖,荃灣,$201-400,日本菜,183,4,195,4.5,300,22.37806,114.10528
The Salted Pig (新城市廣場),沙田沙田正街18號新城市廣場一期7樓702號舖,沙田,$101-200,西式,147,12,196,4.0,150,22.3827,114.19191
湯•米,將軍澳唐賢街23號帝景灣商場1樓40號舖,將軍澳,$51-100,台灣菜,147,10,196,4.0,75,22.309093,114.261688
盤子工房,屯門建生邨建生商場地下114號舖,屯門,$50以下,多國菜,164,2,197,4.0,50,22.395,113.97222
Rempah Noodles,灣仔軒尼詩道18號地舖,灣仔,$101-200,新加坡菜,148,4,198,4.0,150,22.2775,114.17306
牛大人台灣火鍋吃到飽 (瓊華中心),旺角彌敦道628號瓊華中心9樓,旺角,$101-200,台灣菜,168,2,198,4.5,150,22.315031,114.173134
Little Cove Espresso,西貢西貢海旁廣場兆日樓地下1-2號舖,西貢,$51-100,西式,146,2,198,4.0,75,22.3837,114.2708
吃什麼,中環雲咸街75-77號嘉兆商業大廈地下A號舖,中環,$51-100,台灣菜,98,10,202,4.0,75,22.282598,114.16674
Espresso Alchemy,荃灣楊屋道8號如心廣場一期地下G02號舖,荃灣,$51-100,西式,175,1,202,4.5,75,22.37806,114.10528
L.D.K. by Ufufu Café (新城市廣場),沙田沙田正街18號新城市廣場一期地下115號舖,沙田,$101-200,日本菜,114,11,203,4.0,150,22.3827,114.19191
聚福樓,屯門青善街28號康景花園地下1號舖,屯門,$101-200,西式,138,11,203,4.0,150,22.395,113.97222
MR & MRS FOX,鰂魚涌糖廠街23號地舖,鰂魚涌,$201-400,西式,122,12,203,4.0,300,22.28306,114.21278
阿元來了 (堅尼地城),西環堅尼地城北街31號地舖,西環,$51-100,台灣菜,126,13,203,4.0,75,22.28352441,114.1401891
亞萊泰 (T Town ),天水圍天華路33號T Town北翼N211號舖,天水圍,$51-100,泰國菜,144,8,203,4.0,75,22.4606,114.0042
火鍋撚 (皇后大道西),西環石塘咀皇后大道西554-560號日富里百好大廈地下1號舖,西環,$201-400,港式,183,1,204,4.5,300,22.28352441,114.1401891
座銀,中環歌賦街7號地舖,中環,$101-200,日本菜,138,4,205,4.5,150,22.282598,114.16674
牧羊少年咖啡館 (香港單車館),將軍澳寶康路105-107號香港單車館地下G53號舖,將軍澳,$101-200,西式,137,9,206,4.0,150,22.309093,114.261688
炊豕店 (威靈頓街),中環威靈頓街148號地下,中環,$51-100,港式,175,2,206,4.5,75,22.282598,114.16674
Goobne Chicken (天晉匯),將軍澳唐賢街19號天晉匯II期1樓119A號舖,將軍澳,$101-200,韓國菜,155,11,207,4.0,150,22.309093,114.261688
Cobber Coffee and Tonys Pastry,觀塘駿業里8號世貿大樓1樓,觀塘,$101-200,西式,181,2,208,4.5,150,22.31056,114.22278
Wingman (船街),灣仔船街33號地下,灣仔,$101-200,西式,194,2,209,4.5,150,22.2775,114.17306
FAMA,大埔汀角路55號太平工業中心第2座10樓A室,大埔,$101-200,西式,151,7,209,4.0,150,22.448,114.16946000000002
三才魚蛋粉麵,銅鑼灣渣甸坊48號采怡閣地下6號舖,銅鑼灣,$50以下,港式,179,1,210,4.0,50,22.28056,114.18667
Jan Jan 串揚專門店,灣仔皇后大道東100號2樓,灣仔,$201-400,日本菜,161,1,212,4.0,300,22.2775,114.17306
泰道,西貢大網仔路沙下村9號地舖,西貢,$201-400,泰國菜,166,7,212,4.0,300,22.3837,114.2708
Pici,灣仔進教圍16號地舖,灣仔,$201-400,意大利菜,154,8,214,4.0,300,22.2775,114.17306
旮旯,元朗裕榮徑11號好旺洋樓地下16號舖,元朗,$51-100,多國菜,132,12,214,4.0,75,22.44444,114.02583
豬手工房,大圍成運路1-7號交通城大廈2樓11室,大圍,$51-100,多國菜,172,6,214,4.0,75,22.3759,114.1786
亞蘇爾 (新城市廣場),沙田沙田正街18號新城市廣場1期1樓107號舖,沙田,$101-200,葡國菜,161,15,216,4.0,150,22.3827,114.19191
The Balcony,中環皇后大道中118號3樓,中環,$201-400,日本菜,181,2,216,4.0,300,22.282598,114.16674
渝味曉宇重慶老火鍋 (如心廣場),荃灣楊屋道8號如心廣場一期3樓305號舖,荃灣,$201-400,川菜 (四川),196,5,216,4.5,300,22.37806,114.10528
Pho Bar,中環利源西街24號地舖,中環,$51-100,越南菜,171,10,217,4.0,75,22.282598,114.16674
新麻蒲 BBQ (東港城),將軍澳坑口重華路8號東港城二樓225號舖,將軍澳,$101-200,韓國菜,180,5,219,4.0,150,22.309093,114.261688
東歐餐廳,中環雲咸街63號巴力大廈1樓,中環,$201-400,俄國菜,173,2,219,4.0,300,22.282598,114.16674
鮨燐,上環蘇杭街126-128號地下D舖,上環,$801以上,日本菜,203,4,219,4.5,801,22.28694,114.14861
椰粉湯紅,灣仔軒尼詩道61號四寶大廈地下,灣仔,$51-100,港式,208,1,221,4.5,75,22.2775,114.17306
麵尊,銅鑼灣登龍街18號V Point地下5號舖,銅鑼灣,$51-100,港式,140,8,221,4.0,75,22.28056,114.18667
La Postre (形點),元朗元龍街9號形點一期地下G010號舖,元朗,$101-200,西班牙菜,144,8,222,4.0,150,22.44444,114.02583
WM Café & Bar (科學園),沙田白石角香港科學園一期科技大道西5號企業廣場地下S019號舖,沙田,$51-100,西式,181,16,222,4.0,75,22.3827,114.19191
達順辣蟹火鍋,銅鑼灣駱克道391號金禧大廈地下及一樓,銅鑼灣,$101-200,港式,212,0,223,4.5,150,22.28056,114.18667
醉潮館,荃灣三陂坊30號地舖,荃灣,$101-200,潮州菜,204,2,223,4.5,150,22.37806,114.10528
牛知己,元朗安寧路38號世宙商場地下26-27號舖,元朗,$101-200,韓國菜,175,11,223,4.0,150,22.44444,114.02583
校長燒肉日韓料理,元朗西裕街達輝徑1號足彬大廈1樓3B號舖,元朗,$101-200,韓國菜,207,0,224,4.5,150,22.44444,114.02583
Cuisine Culture,中環德己立街12號業豐大廈2樓203號舖,中環,$201-400,法國菜,201,5,224,4.5,300,22.282598,114.16674
小越廚,荃灣享和街49號都城大廈地下D舖,荃灣,$50以下,越南菜,156,14,224,4.0,50,22.37806,114.10528
Daily 13,荃灣柴灣角街38-40號銓通工業大廈13樓A室,荃灣,$101-200,多國菜,209,1,226,4.5,150,22.37806,114.10528
The Backstreet Kitchen,元朗合益路9-15號紀業樓地下H號舖,元朗,$101-200,日本菜,159,4,226,4.0,150,22.44444,114.02583
永順食店,元朗安寧路2號冠煌樓地下,元朗,$50以下,港式,137,3,226,3.5,50,22.44444,114.02583
真‧章魚無雙,葵芳葵富路7號葵涌廣場2樓C07B號舖,葵芳,$50以下,日本菜,113,7,226,4.0,50,22.3578,114.1298
天 · 悠蔬食,荃灣楊屋道18號荃新天地2期地下G08-11號舖,荃灣,$101-200,多國菜,203,2,227,4.5,150,22.37806,114.10528
荳子 (大埔超級城),大埔安邦路9號大埔超級城D區地下670A-671A號舖,大埔,$101-200,西式,120,17,229,4.0,150,22.448,114.16946000000002
金公館 (康怡廣場),太古康山道1-2號康怡廣場3樓T4號舖,太古,$201-400,粵菜 (廣東),190,7,229,4.0,300,22.287,114.2198
和拉麵,大埔運頭街20-26號廣安大廈地下J號舖,大埔,$51-100,日本菜,206,7,230,4.0,75,22.448,114.16946000000002
牛扒先生 (新都會廣場),葵芳興芳路223號新都會廣場四樓488-490舖,葵芳,$201-400,美國菜,117,16,231,3.5,300,22.3578,114.1298
二世祖,大角咀福全街18號地舖,大角咀,$101-200,西式,192,6,233,4.0,150,22.3198,114.1621
上海弄堂菜肉餛飩 (歌賦街),中環歌賦街35-37號地舖,中環,$51-100,滬菜 (上海),199,9,233,4.0,75,22.282598,114.16674
蘇媽.蘇媽馬來西亞茶餐室,荃灣大壩街71號地舖,荃灣,$51-100,馬來西亞菜,129,9,233,4.0,75,22.37806,114.10528
船渦,銅鑼灣謝斐道500號維安商業大廈3樓,銅鑼灣,$201-400,港式,186,10,236,4.5,300,22.28056,114.18667
八沢 (霎東街),銅鑼灣霎東街7號地下7號舖,銅鑼灣,$51-100,日本菜,190,4,236,4.0,75,22.28056,114.18667
Peek-A-Poke,銅鑼灣希雲街16號地舖,銅鑼灣,$101-200,美國菜,192,4,238,4.0,150,22.28056,114.18667
雲家小鍋米線,荃灣沙咀道328號328廣場地下G01舖,荃灣,$50以下,滇菜 (雲南),191,6,239,4.0,50,22.37806,114.10528
WM Café & Bar (雅濤居購物商場),馬鞍山鞍駿街15號雅濤居購物商場地下G01B號舖,馬鞍山,$51-100,西式,201,10,239,4.0,75,22.4277,114.2403
龍城冰室,銅鑼灣謝斐道500號維安商業大廈地舖,銅鑼灣,$50以下,港式,194,12,240,4.0,50,22.28056,114.18667
犇道,屯門龍門路43號龍門居商場地下91號舖,屯門,$51-100,日本菜,208,2,240,4.0,75,22.395,113.97222
鴨仔冰室,觀塘巧明街94-96號鴻圖中心地下5D-E號舖,觀塘,$101-200,多國菜,230,1,241,4.5,150,22.31056,114.22278
德國餐廳 (翠怡花園),大埔翠怡街3號翠怡花園C座地下18 - 19號舖,大埔,$101-200,德國菜,200,7,241,4.0,150,22.448,114.16946000000002
你妳 (運通洋樓),荃灣運通街6號運通洋樓地下K號舖,荃灣,$51-100,台灣菜,187,15,241,4.0,75,22.37806,114.10528
FUMI,中環德己立街30-32號加州大廈6樓,中環,$401-800,日本菜,201,6,243,4.0,600,22.282598,114.16674
Flames (海濱匯),觀塘海濱道77號海濱匯1樓2號舖,觀塘,$51-100,多國菜,216,5,243,4.5,75,22.31056,114.22278
三星台菜食堂 (新城市廣場),沙田沙田正街18號新城市廣場1樓128號舖,沙田,$101-200,台灣菜,109,24,245,3.5,150,22.3827,114.19191
一起果醬,西貢市場街9號地下,西貢,$101-200,西式,160,13,245,4.0,150,22.3837,114.2708
老夫子餐館,元朗朗日路8號形點二期1樓A101號舖,元朗,$51-100,港式,163,11,245,4.0,75,22.44444,114.02583
